baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Omics Group Pair,Probe Name,Gene Symbol,Omics Group 1,Omics Group 2
38.31508656,0.780144217,0.423321764,1.950877554,0.051071613,0.166435012,121_vs_120,BIRC2_703,BIRC2,121,120
3.146954132,-0.774927454,1.682742098,-1.620006724,0.105230832,0.271241542,121_vs_120,BRCA1_26902,BRCA1,121,120
57.64580579,-0.70000605,0.353214909,-2.149064543,0.031629284,0.117480198,121_vs_120,BTN3A2_26908,BTN3A2,121,120
42.09672683,0.659279538,0.363374062,1.905206191,0.056753274,0.179353082,121_vs_120,C1D_859,C1D,121,120
379.9490421,-0.349457513,0.254526999,-1.407320823,0.159332277,0.356522739,121_vs_120,C1QBP_10605,C1QBP,121,120
18.95932495,-0.805727587,0.464372001,-1.905153262,0.056760152,0.179353082,121_vs_120,C1orf112_24242,C1orf112,121,120
24.23091605,-0.618311936,0.443290519,-1.453890258,0.145976734,0.334780775,121_vs_120,C2CD5_14220,C2CD5,121,120
141.9527883,0.733473599,0.191976196,3.889958595,0.000100261,0.001223597,121_vs_120,CAB39_918,CAB39,121,120
13.819758,-0.819942669,0.567148998,-1.66773869,0.095367611,0.25403043,121_vs_120,CANT1_956,CANT1,121,120
42.16721172,0.556622751,0.353337961,1.600577791,0.109470465,0.278567395,121_vs_120,CANX_21472,CANX,121,120
9.534409638,0.819711483,0.584060906,1.48480012,0.13759678,0.320166827,121_vs_120,CASP1_15797,CASP1,121,120
46.05314344,0.689020459,0.35078206,2.046541149,0.040703158,0.141289042,121_vs_120,CASP3_983,CASP3,121,120
26.54933536,0.647346497,0.32707441,2.06293491,0.039118813,0.136801462,121_vs_120,CASP8_26967,CASP8,121,120
326.3718231,0.595296656,0.230758191,2.615374465,0.008912968,0.04516327,121_vs_120,CBWD1_1009,CBWD1,121,120
10.53494373,-0.694528213,0.618918478,-1.342578997,0.179408335,0.383507362,121_vs_120,CCNB1_1053,CCNB1,121,120
442.192331,0.636774686,0.198099901,3.233285032,0.001223754,0.009536017,121_vs_120,CCNG1_1079,CCNG1,121,120
1406.603792,0.577990023,0.152113439,3.831220043,0.000127509,0.001502475,121_vs_120,CCT5_23696,CCT5,121,120
406.8423176,0.579025239,0.1153232,5.041127423,4.63E-07,1.54E-05,121_vs_120,CCT7_1100,CCT7,121,120
104.1947832,-0.773536003,0.211948675,-3.708199355,0.000208738,0.002290376,121_vs_120,CD320_1116,CD320,121,120
139.7409498,0.828346526,0.437528578,1.908162477,0.05637022,0.178829663,121_vs_120,CD55_1141,CD55,121,120
1834.944155,0.690153526,0.136774135,5.084916387,3.68E-07,1.24E-05,121_vs_120,CDC42_1168,CDC42,121,120
3.636641671,0.778851916,0.721515365,1.426649944,0.153680821,0.347395237,121_vs_120,CDH5_16945,CDH5,121,120
56.716014,-0.810369002,0.305113341,-2.750830244,0.005944444,0.033535637,121_vs_120,CDK19_1201,CDK19,121,120
548.6536648,-0.301133775,0.190567208,-1.596418414,0.110395408,0.280027375,121_vs_120,CDK4_1203,CDK4,121,120
53.45498298,-0.499452318,0.260282708,-1.960262462,0.049965121,0.165060714,121_vs_120,CDK5_1206,CDK5,121,120
398.517261,0.454276951,0.23796094,1.930419312,0.053554904,0.172413634,121_vs_120,CDK7_1216,CDK7,121,120
311.2152881,0.630495644,0.172121251,3.693333874,0.000221333,0.002395606,121_vs_120,CEBPZ_1245,CEBPZ,121,120
2.922828095,-0.811116077,1.684216135,-1.496033909,0.134644819,0.317935902,121_vs_120,CENPF_1252,CENPF,121,120
172.5317538,-0.362234317,0.221354892,-1.681224979,0.092719223,0.250038763,121_vs_120,CHEK1_1288,CHEK1,121,120
55.90082288,0.739216141,0.271301086,2.80635624,0.005010526,0.029359411,121_vs_120,CHERP_1290,CHERP,121,120
680.783444,0.655764699,0.231581703,2.915740238,0.003548458,0.022574233,121_vs_120,CHMP4A_1304,CHMP4A,121,120
23.10768045,0.54038896,0.348500126,1.64671559,0.099616518,0.261274903,121_vs_120,CHMP4C_11853,CHMP4C,121,120
44.22807389,-0.798224243,0.318763659,-2.558672165,0.010507278,0.050672194,121_vs_120,CHMP6_1311,CHMP6,121,120
65.19566293,-0.645726706,0.310269584,-2.108377483,0.034998351,0.127034984,121_vs_120,CHP1_1319,CHP1,121,120
29.22858571,0.62949899,0.313903494,2.100287823,0.03570353,0.128812735,121_vs_120,CHUK_1342,CHUK,121,120
113.2865909,-0.734438406,0.303894083,-2.532490859,0.011325532,0.053497245,121_vs_120,CIB1_16624,CIB1,121,120
37.52945216,-0.614863895,0.369944778,-1.709891689,0.087285903,0.238887736,121_vs_120,CISD1_1354,CISD1,121,120
386.924904,-0.608162659,0.220938567,-2.801623059,0.005084624,0.029664443,121_vs_120,CLSTN1_1400,CLSTN1,121,120
114.0297371,-0.449639022,0.196229742,-2.275372427,0.022883598,0.091077482,121_vs_120,CNKSR3_10480,CNKSR3,121,120
87.7552759,-0.402187998,0.243248187,-1.671275722,0.09466723,0.25329308,121_vs_120,CNOT4_1427,CNOT4,121,120
232.8256568,-0.772515658,0.217273157,-3.634901464,0.000278087,0.002891435,121_vs_120,CNPY3_28629,CNPY3,121,120
166.2296872,-0.392769676,0.190859425,-2.081449854,0.03739275,0.132766021,121_vs_120,COA6_1437,COA6,121,120
90.93327243,-0.494809087,0.307240644,-1.626237761,0.103899086,0.268511118,121_vs_120,COL4A3BP_1476,COL4A3BP,121,120
